idindikator;IDTer;nTer;IDVrstaDivljaci;nVrstaDivljaci;mes;god;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;41;Сврака;00;2017;70;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;42;Велики корморан;00;2017;0;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;43;Сива чапља;00;2017;0;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;01;Јелен европски;00;2019;2;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;02;Јелен лопатар;00;2019;0;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;03;Срна;00;2019;741;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;04;Муфлон;00;2019;0;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;05;Дивокоза;00;2019;0;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;06;Дивља свиња;00;2019;101;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;07;Зец;00;2019;2298;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;08;Вук;00;2019;3;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;09;Шакал;00;2019;140;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
13040601IND06;RS;РЕПУБЛИКА СРБИЈА;10;Лисица;00;2019;265;NR;број;РЗС;Губици у саобраћају;A;Коначан податак
